Ride_ID,Driver_ID,City,Date,Duration_min,Distance_km,Fare,Rating,Promo_Code,Driver_ID.1,Name,Age,City.1,Experience_Years,Average_Rating,Active_Status
127,142,Los Angeles,11/30/2024,32,13.8,11.34,4.4,DISCOUNT10,142,Samuel Warren,58,Chicago,20,4.9,Active
109,163,San Francisco,11/6/2024,57,25.3,44.56,3.7,WELCOME5,163,Laura Romero,32,Chicago,19,4,Active
139,163,Miami,11/9/2024,10,5.8,4.49,3.7,SAVE20,163,Laura Romero,32,Chicago,19,4,Active
143,128,Chicago,11/2/2024,34,20.3,15.34,4.2,WELCOME5,128,Chad Johnson,29,Chicago,7,4.4,Active
169,140,San Francisco,11/3/2024,9,4.3,12.83,4.9,DISCOUNT10,140,David Walker,59,Chicago,2,4.6,Inactive
174,151,New York,11/1/2024,68,38.6,49.2,3.8,WELCOME5,151,Kristen Smith,55,Chicago,14,4.7,Inactive
175,124,Los Angeles,11/19/2024,69,35.6,101.76,4.8,DISCOUNT10,124,Eric Gray,25,Chicago,8,4.5,Active
189,178,Chicago,11/11/2024,14,7.8,11.18,3.9,WELCOME5,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
199,122,Los Angeles,11/27/2024,57,30.1,37.4,3.8,SAVE20,122,Randall Cook,32,Chicago,15,5,Inactive
213,146,New York,11/19/2024,29,13.6,33.43,4.8,SAVE20,146,Lawrence Santiago,43,Chicago,17,4.1,Inactive
217,163,Miami,11/3/2024,84,46.3,42.15,4.3,DISCOUNT10,163,Laura Romero,32,Chicago,19,4,Active
219,198,San Francisco,11/6/2024,11,7.3,12.94,4.5,SAVE20,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
223,148,San Francisco,11/13/2024,70,39.9,103.5,3.5,WELCOME5,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
225,163,Chicago,11/30/2024,67,27.6,63.73,3.9,DISCOUNT10,163,Laura Romero,32,Chicago,19,4,Active
226,122,Chicago,11/17/2024,13,7.2,7.2,3.6,SAVE20,122,Randall Cook,32,Chicago,15,5,Inactive
228,111,Miami,11/9/2024,35,19.9,21.98,4.3,SAVE20,111,Barbara Bryant,52,Chicago,2,4.8,Inactive
234,128,Miami,11/28/2024,61,38.3,33.95,3.5,WELCOME5,128,Chad Johnson,29,Chicago,7,4.4,Active
238,163,Los Angeles,11/28/2024,71,35.7,86.19,4.3,WELCOME5,163,Laura Romero,32,Chicago,19,4,Active
240,115,Los Angeles,11/7/2024,58,37.6,108.19,4.9,WELCOME5,115,Patrick Hall,37,Chicago,4,4.4,Active
241,146,San Francisco,11/14/2024,113,45.4,74.85,4.3,DISCOUNT10,146,Lawrence Santiago,43,Chicago,17,4.1,Inactive
247,140,Los Angeles,11/17/2024,48,20.4,52.35,4.6,WELCOME5,140,David Walker,59,Chicago,2,4.6,Inactive
248,119,New York,11/9/2024,61,26.6,33.62,4.6,WELCOME5,119,April Rodriguez,44,Chicago,4,5,Active
249,178,New York,11/5/2024,61,40.5,119.8,5,SAVE20,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
252,119,Chicago,11/6/2024,27,16.6,21.39,4,WELCOME5,119,April Rodriguez,44,Chicago,4,5,Active
269,140,Chicago,11/18/2024,41,22.3,36.62,3.6,SAVE20,140,David Walker,59,Chicago,2,4.6,Inactive
274,128,Miami,11/1/2024,6,4,7.71,4.8,SAVE20,128,Chad Johnson,29,Chicago,7,4.4,Active
279,148,Los Angeles,11/14/2024,88,40.3,23.18,4.3,SAVE20,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
297,195,New York,11/1/2024,16,8.4,13.45,5,WELCOME5,195,Kathleen Soto,31,Chicago,9,4.4,Active
299,103,Los Angeles,11/30/2024,39,22,21.45,4.3,DISCOUNT10,103,Crystal Cook,57,Chicago,9,4.5,Inactive
303,146,San Francisco,11/17/2024,107,46.9,137.89,3.8,SAVE20,146,Lawrence Santiago,43,Chicago,17,4.1,Inactive
307,136,Los Angeles,11/24/2024,74,32.2,59.57,4.3,DISCOUNT10,136,Erik Simpson,29,Chicago,16,4,Inactive
311,136,Chicago,11/24/2024,27,12.8,22.72,4.8,SAVE20,136,Erik Simpson,29,Chicago,16,4,Inactive
321,128,New York,11/9/2024,24,10.8,24.46,3.8,WELCOME5,128,Chad Johnson,29,Chicago,7,4.4,Active
325,115,New York,11/18/2024,48,25.1,34.3,4,DISCOUNT10,115,Patrick Hall,37,Chicago,4,4.4,Active
326,115,New York,11/2/2024,16,8.2,8.68,4.2,DISCOUNT10,115,Patrick Hall,37,Chicago,4,4.4,Active
327,111,San Francisco,11/15/2024,4,2.3,6.89,4.8,DISCOUNT10,111,Barbara Bryant,52,Chicago,2,4.8,Inactive
334,119,Chicago,11/15/2024,105,47.9,34.07,4.8,SAVE20,119,April Rodriguez,44,Chicago,4,5,Active
337,178,Chicago,11/23/2024,88,36.2,86.42,4.7,DISCOUNT10,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
349,136,Miami,11/30/2024,39,26.2,55.88,3.5,WELCOME5,136,Erik Simpson,29,Chicago,16,4,Inactive
353,170,Los Angeles,11/17/2024,10,4.4,5.39,4.4,WELCOME5,170,Erik Greene,37,Chicago,20,5,Inactive
361,115,Los Angeles,11/6/2024,25,12.3,21.22,4.2,WELCOME5,115,Patrick Hall,37,Chicago,4,4.4,Active
364,158,New York,11/16/2024,58,35.9,91.2,4.6,DISCOUNT10,158,Holly Li,47,Chicago,14,4.1,Inactive
376,148,Chicago,11/23/2024,5,3.3,1.86,4.9,WELCOME5,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
380,136,Los Angeles,11/12/2024,22,14.3,8.02,4.7,WELCOME5,136,Erik Simpson,29,Chicago,16,4,Inactive
382,158,Los Angeles,11/24/2024,52,24.3,57.45,4.2,SAVE20,158,Holly Li,47,Chicago,14,4.1,Inactive
391,136,Los Angeles,11/26/2024,32,14.6,8.12,4.4,DISCOUNT10,136,Erik Simpson,29,Chicago,16,4,Inactive
392,136,San Francisco,11/28/2024,80,42.3,87.02,4.1,WELCOME5,136,Erik Simpson,29,Chicago,16,4,Inactive
394,115,Chicago,11/21/2024,2,1.3,2.57,4.4,WELCOME5,115,Patrick Hall,37,Chicago,4,4.4,Active
395,198,New York,11/11/2024,23,13,7.92,4.5,DISCOUNT10,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
396,178,Los Angeles,11/13/2024,28,11.6,29.59,4.5,SAVE20,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
401,148,New York,11/3/2024,101,47.6,26.22,4.5,SAVE20,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
403,170,Los Angeles,11/6/2024,73,41.4,54.7,3.8,DISCOUNT10,170,Erik Greene,37,Chicago,20,5,Inactive
411,128,San Francisco,11/18/2024,85,48.1,114.26,4.8,DISCOUNT10,128,Chad Johnson,29,Chicago,7,4.4,Active
420,198,San Francisco,11/25/2024,68,31,27.37,4,SAVE20,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
421,158,Los Angeles,11/29/2024,49,31.9,66.02,4.8,SAVE20,158,Holly Li,47,Chicago,14,4.1,Inactive
427,119,Chicago,11/15/2024,36,21.1,41.49,4.8,DISCOUNT10,119,April Rodriguez,44,Chicago,4,5,Active
430,115,Chicago,11/14/2024,31,20.8,60.85,3.7,SAVE20,115,Patrick Hall,37,Chicago,4,4.4,Active
437,128,Chicago,11/4/2024,2,1.2,2.85,4.8,DISCOUNT10,128,Chad Johnson,29,Chicago,7,4.4,Active
441,158,New York,11/23/2024,55,34.2,101.98,4.6,DISCOUNT10,158,Holly Li,47,Chicago,14,4.1,Inactive
450,163,Los Angeles,11/26/2024,6,4,9.17,4,WELCOME5,163,Laura Romero,32,Chicago,19,4,Active
451,178,New York,11/12/2024,34,19.5,38.3,4.6,DISCOUNT10,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
452,198,New York,11/2/2024,19,12.1,30.61,3.7,WELCOME5,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
466,147,Miami,11/17/2024,26,11.1,23.91,4.6,DISCOUNT10,147,Raymond Hill,38,Chicago,16,4.3,Inactive
467,124,New York,11/26/2024,22,11.4,24.16,4.9,SAVE20,124,Eric Gray,25,Chicago,8,4.5,Active
483,140,San Francisco,11/29/2024,63,29.6,79.66,3.5,SAVE20,140,David Walker,59,Chicago,2,4.6,Inactive
484,195,New York,11/9/2024,46,23.1,50.28,4.9,DISCOUNT10,195,Kathleen Soto,31,Chicago,9,4.4,Active
488,147,Miami,11/23/2024,94,42,93.72,4,DISCOUNT10,147,Raymond Hill,38,Chicago,16,4.3,Inactive
494,124,Los Angeles,11/20/2024,38,22.7,53.83,3.8,WELCOME5,124,Eric Gray,25,Chicago,8,4.5,Active
502,148,Chicago,11/16/2024,65,33,70.22,4.6,DISCOUNT10,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
529,115,Los Angeles,11/28/2024,60,32,18.23,4.8,DISCOUNT10,115,Patrick Hall,37,Chicago,4,4.4,Active
533,151,San Francisco,11/30/2024,28,15.7,11.16,4.4,SAVE20,151,Kristen Smith,55,Chicago,14,4.7,Inactive
539,148,Los Angeles,11/27/2024,43,28.5,52.95,3.5,WELCOME5,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
542,142,New York,11/6/2024,48,24.4,20.79,5,SAVE20,142,Samuel Warren,58,Chicago,20,4.9,Active
546,140,New York,11/5/2024,73,38.4,78.2,3.7,DISCOUNT10,140,David Walker,59,Chicago,2,4.6,Inactive
559,111,San Francisco,11/14/2024,13,5.5,10.15,4.2,DISCOUNT10,111,Barbara Bryant,52,Chicago,2,4.8,Inactive
566,136,Miami,11/29/2024,46,22.6,47.62,4.7,DISCOUNT10,136,Erik Simpson,29,Chicago,16,4,Inactive
571,151,Los Angeles,11/15/2024,69,31.1,89.54,3.6,SAVE20,151,Kristen Smith,55,Chicago,14,4.7,Inactive
575,198,Los Angeles,11/26/2024,114,47.2,98.14,4.8,WELCOME5,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
577,119,Los Angeles,11/10/2024,68,30.5,67.42,4.4,DISCOUNT10,119,April Rodriguez,44,Chicago,4,5,Active
581,163,Chicago,11/17/2024,59,34.5,35.81,4,WELCOME5,163,Laura Romero,32,Chicago,19,4,Active
585,122,Los Angeles,11/25/2024,58,27.2,79.71,3.7,WELCOME5,122,Randall Cook,32,Chicago,15,5,Inactive
595,178,New York,11/19/2024,79,35.1,97.05,4.4,WELCOME5,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
597,170,Chicago,11/24/2024,44,19.5,37.5,4.4,SAVE20,170,Erik Greene,37,Chicago,20,5,Inactive
600,142,Los Angeles,11/4/2024,34,16.9,36.18,3.9,DISCOUNT10,142,Samuel Warren,58,Chicago,20,4.9,Active
617,119,San Francisco,11/28/2024,56,25.2,58.82,3.9,WELCOME5,119,April Rodriguez,44,Chicago,4,5,Active
624,136,Miami,11/15/2024,4,2.3,3.34,4.7,DISCOUNT10,136,Erik Simpson,29,Chicago,16,4,Inactive
626,147,Los Angeles,11/19/2024,77,48.4,54.42,4.6,SAVE20,147,Raymond Hill,38,Chicago,16,4.3,Inactive
630,128,Chicago,11/23/2024,29,13.9,11.72,4.5,SAVE20,128,Chad Johnson,29,Chicago,7,4.4,Active
638,178,Miami,11/30/2024,23,9.9,4.97,3.7,WELCOME5,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
639,198,Chicago,11/21/2024,8,5.1,10.89,3.9,SAVE20,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
650,128,Chicago,11/17/2024,84,46.4,124.26,3.9,WELCOME5,128,Chad Johnson,29,Chicago,7,4.4,Active
652,163,Los Angeles,11/24/2024,35,16.1,26.68,3.6,WELCOME5,163,Laura Romero,32,Chicago,19,4,Active
653,140,Miami,11/18/2024,86,35.5,86.95,4.9,SAVE20,140,David Walker,59,Chicago,2,4.6,Inactive
660,119,Chicago,11/18/2024,4,3,2.56,4,WELCOME5,119,April Rodriguez,44,Chicago,4,5,Active
664,146,New York,11/3/2024,62,32.6,48.13,4.7,SAVE20,146,Lawrence Santiago,43,Chicago,17,4.1,Inactive
670,163,Miami,11/26/2024,88,37,81.17,4.1,WELCOME5,163,Laura Romero,32,Chicago,19,4,Active
680,140,Miami,11/28/2024,89,37.2,80.75,4,WELCOME5,140,David Walker,59,Chicago,2,4.6,Inactive
683,195,Los Angeles,11/20/2024,55,23.3,59.58,4.9,WELCOME5,195,Kathleen Soto,31,Chicago,9,4.4,Active
689,128,Chicago,11/2/2024,52,27,39.72,3.9,SAVE20,128,Chad Johnson,29,Chicago,7,4.4,Active
697,115,Chicago,11/9/2024,60,24.9,28.82,4,WELCOME5,115,Patrick Hall,37,Chicago,4,4.4,Active
699,128,Los Angeles,11/21/2024,83,42.1,55.45,3.8,DISCOUNT10,128,Chad Johnson,29,Chicago,7,4.4,Active
702,140,Chicago,11/2/2024,36,15,22.85,3.6,WELCOME5,140,David Walker,59,Chicago,2,4.6,Inactive
703,158,Chicago,11/8/2024,102,47.7,116.73,3.9,DISCOUNT10,158,Holly Li,47,Chicago,14,4.1,Inactive
704,195,Miami,11/26/2024,58,29.4,38.47,4.5,SAVE20,195,Kathleen Soto,31,Chicago,9,4.4,Active
707,198,Los Angeles,11/17/2024,49,28.8,26.25,4,SAVE20,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
713,170,Chicago,11/15/2024,60,27.9,81.62,4.2,SAVE20,170,Erik Greene,37,Chicago,20,5,Inactive
715,140,San Francisco,11/27/2024,25,14.9,41.11,4.6,SAVE20,140,David Walker,59,Chicago,2,4.6,Inactive
719,111,Los Angeles,11/17/2024,34,15,32.46,4,DISCOUNT10,111,Barbara Bryant,52,Chicago,2,4.8,Inactive
721,103,Chicago,11/28/2024,35,20.8,60.78,4.7,DISCOUNT10,103,Crystal Cook,57,Chicago,9,4.5,Inactive
723,148,Miami,11/22/2024,75,30.6,29.79,3.6,DISCOUNT10,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
727,170,New York,11/23/2024,79,42.4,109.85,4.6,SAVE20,170,Erik Greene,37,Chicago,20,5,Inactive
735,147,Chicago,11/19/2024,20,8.9,13.47,4.9,WELCOME5,147,Raymond Hill,38,Chicago,16,4.3,Inactive
754,103,New York,11/5/2024,3,1.8,3.57,4.9,WELCOME5,103,Crystal Cook,57,Chicago,9,4.5,Inactive
758,124,Miami,11/16/2024,80,34.9,90.14,4.1,WELCOME5,124,Eric Gray,25,Chicago,8,4.5,Active
760,158,New York,11/10/2024,54,22.6,52.49,4.1,DISCOUNT10,158,Holly Li,47,Chicago,14,4.1,Inactive
770,128,San Francisco,11/14/2024,4,2.2,3.95,3.5,DISCOUNT10,128,Chad Johnson,29,Chicago,7,4.4,Active
797,195,New York,11/4/2024,58,25.5,53.75,3.7,DISCOUNT10,195,Kathleen Soto,31,Chicago,9,4.4,Active
798,115,Los Angeles,11/3/2024,39,26,29.53,3.5,DISCOUNT10,115,Patrick Hall,37,Chicago,4,4.4,Active
807,170,Los Angeles,11/13/2024,36,17.2,11.36,4,SAVE20,170,Erik Greene,37,Chicago,20,5,Inactive
810,198,Chicago,11/7/2024,66,30.7,35.42,3.9,DISCOUNT10,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
813,122,New York,11/5/2024,31,17,50.94,4.1,WELCOME5,122,Randall Cook,32,Chicago,15,5,Inactive
815,119,Chicago,11/24/2024,82,38.7,86.43,4.9,WELCOME5,119,April Rodriguez,44,Chicago,4,5,Active
820,170,Miami,11/4/2024,63,33.5,71.47,3.6,DISCOUNT10,170,Erik Greene,37,Chicago,20,5,Inactive
835,122,Miami,11/1/2024,91,42.7,35.66,4.3,WELCOME5,122,Randall Cook,32,Chicago,15,5,Inactive
847,151,Chicago,11/18/2024,92,47.1,123.5,3.6,WELCOME5,151,Kristen Smith,55,Chicago,14,4.7,Inactive
851,128,Los Angeles,11/30/2024,24,15.5,24.79,4.7,WELCOME5,128,Chad Johnson,29,Chicago,7,4.4,Active
853,115,San Francisco,11/1/2024,68,29.4,84.5,4.3,DISCOUNT10,115,Patrick Hall,37,Chicago,4,4.4,Active
857,170,Miami,11/20/2024,35,23.1,34.26,4.5,DISCOUNT10,170,Erik Greene,37,Chicago,20,5,Inactive
859,103,Los Angeles,11/16/2024,22,14.2,9.57,4.6,SAVE20,103,Crystal Cook,57,Chicago,9,4.5,Inactive
867,140,San Francisco,11/17/2024,24,10.3,13.8,4,DISCOUNT10,140,David Walker,59,Chicago,2,4.6,Inactive
868,148,Miami,11/6/2024,71,42.5,126.67,4.9,SAVE20,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
870,122,Los Angeles,11/24/2024,43,20.2,33.51,4.3,SAVE20,122,Randall Cook,32,Chicago,15,5,Inactive
876,103,Chicago,11/19/2024,40,17.4,49.53,4.6,WELCOME5,103,Crystal Cook,57,Chicago,9,4.5,Inactive
880,147,Los Angeles,11/18/2024,60,25.3,73.41,4.4,WELCOME5,147,Raymond Hill,38,Chicago,16,4.3,Inactive
886,178,New York,11/14/2024,62,27.7,78.25,4.6,WELCOME5,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
887,142,New York,11/8/2024,13,8.9,8.8,4,WELCOME5,142,Samuel Warren,58,Chicago,20,4.9,Active
888,136,Los Angeles,11/1/2024,13,6.5,7.19,4,DISCOUNT10,136,Erik Simpson,29,Chicago,16,4,Inactive
889,146,Chicago,11/21/2024,69,32.3,43.14,3.6,SAVE20,146,Lawrence Santiago,43,Chicago,17,4.1,Inactive
894,103,New York,11/4/2024,18,8.3,6.13,4.8,WELCOME5,103,Crystal Cook,57,Chicago,9,4.5,Inactive
904,146,Los Angeles,11/9/2024,57,30.1,56.08,4.4,WELCOME5,146,Lawrence Santiago,43,Chicago,17,4.1,Inactive
905,163,San Francisco,11/11/2024,61,33.8,71.96,4.1,DISCOUNT10,163,Laura Romero,32,Chicago,19,4,Active
907,128,New York,11/8/2024,88,46.3,136.03,4.8,DISCOUNT10,128,Chad Johnson,29,Chicago,7,4.4,Active
911,158,Miami,11/30/2024,10,4.2,3.03,3.9,SAVE20,158,Holly Li,47,Chicago,14,4.1,Inactive
917,198,Los Angeles,11/21/2024,76,42.5,105.34,4.9,WELCOME5,198,Taylor Stephenson,58,Chicago,3,4.8,Inactive
919,163,Los Angeles,11/1/2024,49,31.9,31.71,3.7,SAVE20,163,Laura Romero,32,Chicago,19,4,Active
928,158,Miami,11/25/2024,53,21.9,40.26,3.8,SAVE20,158,Holly Li,47,Chicago,14,4.1,Inactive
929,148,New York,11/3/2024,53,29.9,54.18,4.3,DISCOUNT10,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
930,170,New York,11/24/2024,15,9.3,12.3,4.2,SAVE20,170,Erik Greene,37,Chicago,20,5,Inactive
934,111,Chicago,11/24/2024,57,31.4,92.46,4.5,SAVE20,111,Barbara Bryant,52,Chicago,2,4.8,Inactive
938,142,San Francisco,11/6/2024,13,7.8,14.62,4.6,SAVE20,142,Samuel Warren,58,Chicago,20,4.9,Active
946,178,Los Angeles,11/13/2024,80,36.8,103.94,4.8,WELCOME5,178,Jeffery Williams,30,Chicago,20,4.6,Inactive
950,158,Chicago,11/4/2024,31,15.1,31.03,3.5,DISCOUNT10,158,Holly Li,47,Chicago,14,4.1,Inactive
957,158,San Francisco,11/7/2024,96,44.5,127.79,3.7,SAVE20,158,Holly Li,47,Chicago,14,4.1,Inactive
962,103,Miami,11/3/2024,22,12.5,14.97,4.2,WELCOME5,103,Crystal Cook,57,Chicago,9,4.5,Inactive
965,136,Los Angeles,11/8/2024,80,34.5,24.6,4.4,WELCOME5,136,Erik Simpson,29,Chicago,16,4,Inactive
968,115,New York,11/12/2024,77,41.6,81.54,4.6,WELCOME5,115,Patrick Hall,37,Chicago,4,4.4,Active
974,158,New York,11/19/2024,9,4.8,14.18,4.5,SAVE20,158,Holly Li,47,Chicago,14,4.1,Inactive
977,136,Chicago,11/23/2024,65,37.2,65.5,4.4,WELCOME5,136,Erik Simpson,29,Chicago,16,4,Inactive
983,151,Miami,11/30/2024,77,48.5,138.11,4.9,DISCOUNT10,151,Kristen Smith,55,Chicago,14,4.7,Inactive
989,148,Los Angeles,11/13/2024,84,34.3,101.02,4.1,DISCOUNT10,148,Isaiah Evans,60,Chicago,3,4.9,Inactive
995,158,Miami,11/17/2024,59,39.1,81.14,4,WELCOME5,158,Holly Li,47,Chicago,14,4.1,Inactive
999,163,Miami,11/1/2024,93,44.7,114.69,4.4,WELCOME5,163,Laura Romero,32,Chicago,19,4,Active
4,120,Chicago,11/12/2024,46,26.5,54.88,4.7,SAVE20,120,Andrew Heath,26,Los Angeles,3,4.2,Active
5,193,San Francisco,11/7/2024,26,15.9,20.45,4.2,DISCOUNT10,193,Jason Adams,44,Los Angeles,11,4.3,Active
33,193,Miami,11/14/2024,73,41.6,97.98,4.7,WELCOME5,193,Jason Adams,44,Los Angeles,11,4.3,Active
108,193,San Francisco,11/29/2024,31,14.7,28.64,4.8,SAVE20,193,Jason Adams,44,Los Angeles,11,4.3,Active
8,137,Miami,11/28/2024,55,33.1,41.67,4,SAVE20,137,Steven Alexander,47,Los Angeles,20,4.1,Active
97,137,Los Angeles,11/13/2024,70,32.1,28.75,3.8,DISCOUNT10,137,Steven Alexander,47,Los Angeles,20,4.1,Active
125,137,Chicago,11/7/2024,5,2.7,3.96,4,WELCOME5,137,Steven Alexander,47,Los Angeles,20,4.1,Active
59,105,San Francisco,11/8/2024,29,13.6,21.71,3.6,WELCOME5,105,Jeffrey King,49,Los Angeles,4,4.4,Inactive
20,107,Chicago,11/25/2024,44,21.7,30,4.9,DISCOUNT10,107,James Jones,41,Los Angeles,5,5,Inactive
75,108,Chicago,11/30/2024,5,3.6,8.22,4.1,SAVE20,108,Ronald Holden,35,Los Angeles,7,4.9,Active
84,108,San Francisco,11/9/2024,51,24.1,43.15,4.3,SAVE20,108,Ronald Holden,35,Los Angeles,7,4.9,Active
13,161,San Francisco,11/28/2024,18,11.4,10.58,3.9,SAVE20,161,Thomas Watson,54,Los Angeles,9,4.4,Active
15,127,Los Angeles,11/11/2024,59,26.4,77.73,4.6,SAVE20,127,Katherine Ellison,42,Los Angeles,11,4.6,Inactive
17,132,Chicago,11/17/2024,84,42.9,125.46,3.7,SAVE20,132,Kaitlin Walton,27,Los Angeles,6,4.8,Active
27,113,Miami,11/3/2024,74,33.2,73.77,3.7,WELCOME5,113,Brian Edwards II,35,Los Angeles,15,4.4,Inactive
107,113,Chicago,11/25/2024,75,39.6,46.92,4.3,SAVE20,113,Brian Edwards II,35,Los Angeles,15,4.4,Inactive
18,160,New York,11/5/2024,82,34.5,24.27,4.8,WELCOME5,160,Shelby Baldwin,56,Los Angeles,9,4.9,Inactive
38,149,Miami,11/10/2024,41,26.9,61.77,4.5,SAVE20,149,Catherine Washington,54,Los Angeles,10,4.1,Active
63,149,Chicago,11/14/2024,64,30.2,25.65,4.7,SAVE20,149,Catherine Washington,54,Los Angeles,10,4.1,Active
56,157,San Francisco,11/22/2024,29,16.1,29.47,4.7,WELCOME5,157,Manuel Smith,31,Los Angeles,16,4.2,Inactive
70,165,New York,11/5/2024,75,44.4,101.39,4.5,DISCOUNT10,165,Leonard Willis,29,Los Angeles,3,4.4,Active
95,155,Los Angeles,11/6/2024,48,22.3,19.48,4.3,WELCOME5,155,Gregory Pruitt,34,Los Angeles,3,4,Active
115,155,Los Angeles,11/4/2024,35,19.1,32.49,4.5,WELCOME5,155,Gregory Pruitt,34,Los Angeles,3,4,Active
104,168,San Francisco,11/30/2024,104,49.5,56.19,3.5,DISCOUNT10,168,Andrew Dunn,25,Los Angeles,19,4.8,Active
116,180,Los Angeles,11/4/2024,4,3,2.95,4.2,DISCOUNT10,180,Ray Clarke,51,Los Angeles,15,4.9,Inactive
137,188,San Francisco,11/8/2024,30,13.9,13.92,4.2,DISCOUNT10,188,Molly Bell,47,Los Angeles,17,4.6,Active
140,197,New York,11/3/2024,26,17.1,14.48,4.9,SAVE20,197,Michael Shields,49,Los Angeles,4,4.4,Active
145,108,Los Angeles,11/1/2024,92,38.4,101.91,4.9,DISCOUNT10,108,Ronald Holden,35,Los Angeles,7,4.9,Active
150,167,New York,11/22/2024,75,41.1,60.51,4.3,DISCOUNT10,167,Glenn Schultz,33,Los Angeles,17,4.8,Active
